

E-text prepared by sp1nd and the Online Distributed Proofreading Team
(http://www.pgdp.net) from page images generously made available by
Internet Archive (https://archive.org)



Note: Images of the original pages are available through
      Internet Archive. See
      https://archive.org/details/crippscarrierwoo00blac


Transcriber's note:

      Text enclosed by underscores is in italics (_italics_).





CRIPPS, THE CARRIER.

A WOODLAND TALE.

by

RICHARD DODDRIDGE BLACKMORE,

Author of "Lorna Doone," "Alice Lorraine," etc.


    [Greek: ar estin hemin logidion gnomen echon,
    humn men auton ouchi dexioteron,
    kompsdias de photikes sophoteron;]

    AR. VESP. 64.


New Edition







London:
Sampson Low, Marston & Company, Limited,
St. Dunstan's House,
Fetter Lane, Fleet Street, E.C.
1892.

[All rights reserved.]


      *      *      *      *      *      *

    BY THE SAME AUTHOR.


    LORNA DOONE.

        (_Illustrated, edition de luxe, parchment, 35s.; plainer
        bindings, 31s. 6d., 21s., and 7s. 6d._)

    ALICE LORRAINE.
    CLARA VAUGHAN.
    CRADOCK NOWELL,
    CRIPPS, THE CARRIER.
    MARY ANERLEY.
    EREMA: or, My Father's Sin.
    CHRISTOWELL: A Dartmoor Tale.
    TOMMY UPMORE.
    SPRINGHAVEN.
    KIT AND KITTY.

    LONDON:
    SAMPSON LOW, MARSTON & COMPANY, LIMITED.
    FETTER LANE. FLEET STREET, E.C.

      *      *      *      *      *      *


CONTENTS.


CHAPTER                                           PAGE

"Such dangerous topics I will avoid. And now for the man with this
villainous voice. You knew, or at any rate now you know, that I never
was satisfied with that wretched affair that was called an 'Inquest.'
Inquest a non inquirendo--but I beg your pardon, my good Cripps.
Enough that the whole was pompous child's play, guided by crafty hands
beneath; as happens with most inquests. I only doubted the more,
friend Cripps; I only doubted the more, from having a wrong way taken
to extinguish doubts."

"To be sure, your Worship; a lie on the back of another lie makes un
go heavier."

"Well, never mind; only this I did. For a few days perhaps I was
overcome; and the illness of my dear old friend, the Squire, and the
trouble of managing so that he should not hear anything to kill him;
and my own slowness at the back of it all; for I never, as you know,
am hasty--these things, one and another, kept me from going on
horseback anywhere."

"To be sure, your Worship, to be sure. You ought to be always
a-horseback. I've a-seed you many times on the Bench; but you looks a
very poor stick there compared to what 'ee be a-horseback."

"Now, Cripps, where is your reverence? You call me 'your Worship,' and
in the same breath contemn my judicial functions. I must commit you
for a week's hard labour at getting in and out of your own cart, if
you will not allow me to speak, Cripps. At last I have frightened you,
have I? Then let me secure the result in silence. Well, after the
weather began to change from that tremendous frost and snow, and the
poor Squire fell into the quiet state that he has been in ever since,
I found that nothing would do for me, my health not being quite as
usual----"

"Oh, your Worship was wonderfully kind; they told me you was as good
as any old woman in the room almost!"

"Except to take long rides, Cripps, nothing at all would do for me.
And, not to speak of myself too much, I believe that saved me from
falling into a weak, and spooney, and godless state. I assure you
there were times--however, never mind that, I am all right now,
and----"

"Thank the Lord! you ought to say, sir; but you great Squires upon the
bench----"

"Thank the Lord! I do say, Cripps; I thank Him every day for it. But
if I may edge in a word, in your unusually eloquent state, I will tell
you just what happened to me. I never believed, and never will, that
poor Miss Oglander is dead. The coroner and the jury believed that
they had her remains before them, although for the Squire's sake they
forbore to identify her in the verdict. Your sister, no doubt,
believed the same; and so did almost every one. I could not go, I
could not go--no doubt I was a fool; but I could not face the chance
of what I might see, after what I had heard of it. Well, I began to
ride about, saying nothing of course to any one. And the more I rode,
the more my spirit and faith in good things came back to me. And I
think I have been rewarded, Cripps; at last I have been rewarded. It
is not very much; but still it is like a flash of light to me. I have
found out the man with the horrible voice."

"Lord have mercy upon me! your Worship--the man as laid hold of the
pick-axe!"

"I have found him, Cripps, I do believe. But rather by pure luck than
skill."

"There be no such thing as luck, your Worship; if you will excoose me.
The Lord in heaven is the master of us!"

"Upon my word, it looks almost like it, though I never took that view
of things. However, this was the way of it. To-day is Saturday. Well,
it was last Wednesday night, I was coming home from a long, and wet,
and muddy ride to Maidenhead. That little town always pleases me; and
I like the landlord and the hostler, and I am sure that my horse is
fed----"

"Your Worship must never think such a thing, without you see it mixed,
and feel it, and watch him a-munching, until he hath done."

"More than that, I have always fancied, ever since that story was
about the bag of potatoes you brought, without knowing any more of
it--ever since I heard of that, it has seemed to me that more
inquiries ought to be made at Maidenhead. I need not say why; but I
know that the Squire's opinion had been the same, as long as--I mean
while--his health permitted. On Wednesday I went to the foreman of the
nursery whence the potatoes came. It was raining hard, and he was in a
shed, with a green baize apron on, seeing to some potting work. I got
him away from the other men, and I found him a very sharp fellow
indeed. He remembered all about those potatoes, especially as Squire
Oglander had ridden from Oxford, in the snowy weather, to ask many
questions about them. But the Squire could not put the questions I
did. The poor old gentleman could not bear, of course, to expose his
trouble. But I threw away all little scruples (as truly I should have
done long ago), and I told the good foreman every word, so far as we
know it yet, at least. He was shocked beyond expression--people take
things in such different ways--not at the poor Squire's loss and
anguish, but that anybody should have dared to meddle with his own pet
'oakleafs,' and, above all, his new pet seal.

"'I sealed them myself,' he said, 'sealed them myself, sir, with the
new coat of arms that we paid for that month, because of the tricks of
the trade, sir! Has anybody dared to imitate----' 'No, Mr. Foreman,' I
said, 'they simply cut away your seal altogether, and tied it again,
without any seal.' 'Oh, then,' he replied, 'that quite alters the
case. If they had only meddled with our new arms, while the money was
hot that we paid for them, what a case we might have had! But to knock
them off--no action lies.'

"Cripps, it took me a very long time to warm him up to the matter
again, after that great disappointment. He was burning for some great
suit at law against some rival nursery, which always pays the upstart
one; but I led him round, and by patient words and simple truth
brought him back to reason. The packing of the bag he remembered well,
and the pouring of a lot of buck-wheat husks around and among the
potato sets, to keep them from bruising, and to keep out frost, which
seemed even then to be in the air. And he sent his best man to the
Oxford coach, the first down coach from London, which passed by their
gate about ten o'clock, and would be in Oxford about two, with the
weather and the roads as usual. In that case, the bag could scarcely
have been at the Black Horse more than half an hour before you came
and laid hold of it; and being put into the bar, as the Squire's
parcels always are, it was very unlikely to be tampered with."

"Lord a' mercy! your Worship, it was witchcraft then! The same as I
said all along; it were witches' craft, and nothing else."

"Stop, Cripps, don't you be in such a hurry. But wait till you hear
what I have next to tell. But oh, here comes my friend Hardenow, as
punctual as the clock strikes two! Well, old fellow, how are you
getting on?"




CHAPTER XIX.

A STORMY NIGHT.


The Rev. Thomas Hardenow, fellow and tutor of Brasenose, strode into
his own room at full speed, and stopped abruptly at sight of the
Carrier. "Of all men, most I have avoided thee," was in his mind; but
he spoke it not, though being a strongly outspoken man. Not that he
ever had done any wrong to make him be shy of the Cripps race; but
that he felt in his heart a desire for commune, which must be
dangerous. He knew that in him lurked a foolish tendency towards
Esther; and (which was worse) he knew that she had done her best to
overcome a still more foolish turn towards him.

Cripps, however (who would have fed the doves of Venus on black peas),
looked upon any little bygone "coorting" as a social and congenial
topic, enabling a quiet man to get on (if he only had a good memory)
with almost any woman. Like a sensible man, he had always acquitted
Hardenow of any blame in the matter, knowing that young girls' fancies
may be caught without any angling. "If her chose to be a fool, how
were he to blame for it?" And the Carrier never forgot the stages of
social distinction. "Servant, sir," he therefore said, with his usual
salaam; "hope I see you well, sir."

"Thank you, Zacchary," said Mr. Hardenow, taking the Carrier's horny
palm (which always smelled of straps and buckles), and trying to
squeeze it, with a passive result, "I am pretty well, Zacchary, thank
you."

"Then you don't look it, sir, that you doesn't. We heerd you was
getting on wonderful well. But the proof of the puddin' ain't in you,
sir."

"That's right, Cripps," cried Overshute; "give it to him, Cripps! Why,
he starves himself! Ever since he took his first and second, and got
his fellowship and took orders, he hasn't known what a good dinner is.
He keeps all the fasts in the calendar, and the vigils of the
festivals, and he ought to have an appetite for the feasts; but he
overstays his time, and can't keep anything on his stomach!"

"Now, Russel, as usual!" Hardenow answered, with a true and pleasant
smile; "what a fine fellow you would be, if you only had moderation!
But I see that you want to talk to Cripps; and I have several men
waiting in the quad. Where is my beaver? Oh! here, to be sure! Will
you come with us? No, of course you can't. Will you dine in hall with
me?"

"Of course, I won't. But come you and dine with me on Sunday--the only
day you dare eat a bit--and my mother will do her best to strengthen
you, build you up, establish you, for a fortnight of macaroni. Will
you come?"

"Yes, yes, to-morrow--to be sure--I have many things I want to say to
you. Good-bye for the present; good-bye, Master Cripps."

"There goes one of the finest fellows, of all the fine fellows yet
ruined by rubbish!" With these words Russel Overshute ran to the
window and looked out. A dozen or more of young men were waiting, the
best undergraduates of the college, for Mr. Hardenow to lead them for
fifteen miles, without a word.

"Well, every man to his liking," said Russel; "but that would be about
the last of mine. Now, Cripps, most patient of carriers, are you ready
for me to go on or not?"

"I hath a been thinking about my horse. How greedy o' me to be ating
like this"--for the thought of so much fasting had made him set to
again, while he got the chance--"drinking likewise of college
ale--better I have tasted, but not often--and all this time, as you
might say, old Dobbin easing of his dainty foot, with no more nor a
wisp of hay to drag through his water--if he hath any."

"An excruciating picture, Cripps, drawn by too vivid a conscience.
Dobbin is as happy as he can be, with twenty-five horses to talk to
him. At this very moment I behold him munching choicest of white oats
and chaff."

"Your Worship can see through a stone-wall, they say; but they only
keeps black oats at the Cross just now, along of a contract the
landlord have made--and a blind sort of bargain, to my thinking----"

"Never mind that--let him have black oats then, or Irish oats, or no
oats at all. But do you wish to hear my story out, or will you leave
it till next Saturday?"

"Sir, you might a' seen as I was waiting, until such time as you plaze
to go on wi' un."

"Very well, Cripps, that satisfies the most exacting historian. I will
go on where I left off, if that point can be established. Well, I left
the foreman of the nursery telling me about the man he sent with the
bag of potatoes to the Oxford coach. He told me he was one of his
sharpest hands, who had been off work for a week or two then, and had
only returned that morning. 'Joe Smith' was his name; and when they
could get him to work, he would do as much work as any two other men
on the place. He might be trusted with anything, if he only undertook
it; but the worst of him was that he never could be got to stick long
to anything. Here to-day and gone to-morrow had always been his
character; and they thought that he must be of gipsy race, and perhaps
had a wandering family.

"This made me a little curious about the man; and I asked to see him.
But the foreman said that for some days now he had not been near the
nursery, and they thought that he was on the Oxford road, in the
neighbourhood of Nettlebed; and another thing--if I did see him, I
could not make out more than half he said, for the man had such a
defect in his voice, that only those who were used to him could be
certain of his meaning. Suddenly I thought of your sister's tale, and
I said to the foreman, 'Does he speak like this?' imitating as well as
I could your sister's imitation of him. 'You know the man, sir,' the
foreman answered; 'you have got him so exactly, that you must have
heard him many times.' I told him no more, but asked him to describe
Joe Smith's appearance. He answered that he was a tall, dark man,
loosely built, but powerful, with a stoop in his neck, and a long
sharp nose; and he generally wore a brown pointed hat.

"Cripps, you may well suppose that my suspicions were strong by this
time. Here was your sister's description--so far as the poor girl
could see in the dusk and the fright--confirmed to the very letter;
and here was the clear opportunity offered for slipping the wreath of
hair into the bag."

"Your Worship, now, your Worship! you be a bit too sharp! If that
there man were at Headington quarry at nightfall of the Tuesday, how
could he possible a' been to Maidenhead next morning? No, no, your
Worship are too sharp."

"Too thick, you mean, Cripps; and not sharp enough. But listen to me
for a moment. Those long-legged gipsies think very little of going
thirty miles in a night; though they never travel by day so. And then
there is the up mail-coach. Of course he would not pay his fare, but
he might hang on beneath the guard's bugle, with or without his
knowledge, and slip away at the changing-houses. Of that objection I
think nothing. It serves to my mind as a confirmation."

"Very well, sir," said Cripps discreetly; "who be I for to argify?"

"No, Cripps, of course not. But still I wish to allow you to think of
everything. You may not be right; but still I like you to speak when
you think of anything. That is what I have always said, and contended
for continually--let every man speak--when sensible."

"Your Worship hath hit the mark again. The old Squire saith, 'let no
man speak,' as St. Paul sayeth of the women. But your Worship saith
'let all men speak, all women likewise, as hath a tongue'--and then
you stoppeth us both the more, by restirrecting all on us, women or
men, whichever a may happen, till such time as all turns up sensible.
Now, there never could ever be such a time!"

"Carrier, you are satirical. Keep from the Dusty Anvil, Cripps. Marry
a wife, and you will have a surfeit of argument at home. But still you
have been very good on the whole, and you never will get home
to-night. At any rate, I was so convinced, in spite of all smaller
difficulties, that I bound the foreman to let me know, by a man on
horseback, at any expense, the moment he saw Joe Smith again. And his
parting words to me were these--'Well, sir, don't you think harm of
Joe without sure proof against him. He is a random chap, I know; but I
never saw a better man to earn his wages.'

"Well, I went back to the inn at once, and rode leisurely to Henley.
It was raining hard, and the river in flood with all the melted snow
and so on, when I crossed that pretty bridge. I had been trying in
vain to think what was the best thing I could do; not liking to go
home, and leave my new discovery so vague. But being soaked and chilly
now, I resolved to have a glass of something hot, for fear of taking a
violent cold, and losing perhaps a week by it. So I went into the
entrance of that good inn by the waterside, and called for some brandy
and water hot. The landlord was good enough to come out; and knowing
me from old boating days, he got into a talk with me. I had helped him
at the sessions about a house of his at Dorchester; and nothing could
exceed his good will. Remembering how the gipsies hang about the boats
and the waterside, I asked him (quite as a random shot) whether any of
them happened to be in the neighbourhood just now. He thought perhaps
that I was timid about my dark ride homeward, and he told me all he
knew of them. There was one lot, as usual, in the open ground about
Nuneham, and another large camp near Chalgrove, and another, quite a
small pitch that, on the edge of the firs above Nettlebed.

"This last was the lot for me; and I pressed him so about them, that
he looked at me with a peculiar grin. 'What do you mean by that?' I
asked. 'Now, Squire Overshute, as if you did not know!' he answered.
'Doth your Worship happen to remember Cinnaminta's name?'

"Cripps, I assure you I was astonished. Of course you knew
Cinnaminta--well, I don't want to be interrupted. No one could say any
harm of her; and a lovelier girl was never seen. The landlord had
heard some bygone gossip about Cinnaminta and myself. I did admire
her. I am not ashamed to say that I greatly admired her. And so did
every young fellow here, who had got a bit of pluck in him. I will not
go into that question; but you know what Cinnaminta was."

Cripps nodded, with a thick mixture of feelings. His poetical self had
been smitten more with Cinnaminta than he cared to tell; and his
practical self was getting into a terrible hubbub about his horse. "To
be sure, your Worship," was all he said.

"Very well, now you understand me. To hear of Cinnaminta being in that
camp at Nettlebed made me so determined that I laid hold of the
landlord by the collar without thinking. He begged me not to ride off
with him, or his business would be ruined; and feeling that he weighed
about eighteen stone, I left him on his threshold.

"I could not bear to ask him now another word of anything. Knowing
looks, and winks, and reeking jokes so irritate me, when I know that a
woman is pure and good. You remember how we all lost Cinnaminta. Three
or four score of undergraduates, reckless of parental will, had
offered her matrimony; and three or four newly-elected fellows were
asking whether they would vacate, if they happened to jump the
broomstick."

"All that were too fine to last," muttered Cripps, most sensibly. "But
her ought to a' had a sound man on the road--a man with a horse well
seasoned, and a substantial cart--her ought."

"Oh, then, Cripps, you were smitten too! A nice connection for light
parcels! Well, never mind. The whole thing is over. We all are sadder
and wiser men; but we like to know who the chief sufferer is--what man
has won the beauty. And with this in my mind, I rode up the hill, and
resolved to go through with my seeking.

"When I got to the end of 'the fair-mile,' the night came down in
earnest. You know my young horse 'Cantelupe,' freckled like a melon.
He knows me as well as my old dog; and a child can ride him. But in
the dark he gets often nervous, and jumps across the road, if he sees
what he does not consider sociable. So that one must watch his ears,
whatever the weather may be. And now the weather was as bad as man or
horse could be out in.

"All day, there had been spits of rain, with sudden puffs of wind, and
streaks of green upon the sky, and racing clouds with ragged edges.
You remember the weather of course; Wednesday is one of your Oxford
days. Well, I hope you were home before it began to pelt as it did
that evening. For myself I did not care one fig. I would rather be
drenched than slowly sodden. But I did care for my horse; because he
had whistled a little in the afternoon, and his throat is slightly
delicate. And the whirr of the wind in the hedge, and the way it
struck the naked branches back, like the clashing of clubs against the
sky, were enough to make even a steady old horse uneasy at the things
before him. Moreover, the road began to flash with that peculiar light
which comes upward or downward--who can tell?--in reckless tumults of
the air and earth. The road was running like a river; come here and go
there, like glass it shone with the furious blows of the wind striking
a pale gleam out of it. I stooped upon Cantelupe's neck, or the wind
would have dashed me back over his crupper.

"Suddenly in this swirl and roar, my horse stood steadfast. He spread
his fore legs and stooped his head to throw his balance forward; and
his mane (which had been lashing my beard) swished down in a waterfall
of hair. I was startled as much as he was, and in the strange light
stared about. 'You have better eyes than I have,' I said, 'or else you
are a fool, Canty.'

"I thought that he was a fool, until I followed the turn of his head,
and there I saw a white thing in the ditch. Something white or rather
of a whity-brown colour was in the trough, with something dark leaning
over it. 'Who are you there?' I shouted, and the wind blew my voice
back between my teeth.

"'Nort to you, master. Nort to you. Go on, and look to your own
consarns.'

"This rough reply was in a harsh high cackle, rather than a human
voice; but it came through the roar of the tempest clearly, as no
common voice could come. For a moment, I had a great mind to do
exactly as I was ordered. But curiosity, and perhaps some pity for the
fellow, stopped me. 'I will not leave you, my friend,' I said, 'until
I am sure that I can do no good.' The man was in such trouble, that he
made no answer which I could hear, so I jumped from my horse, who
would come no nearer; and holding the bridle, I went up to see.

"In as sheltered a spot as could be found, but still in a dripping and
weltering place, lay, or rather rolled and kicked, a poor child in a
most violent fit. 'Don't 'ee now, my little Tom; don't 'ee, that's a
deary, don't!' The man kept coaxing, and moaning, and trying to smooth
down little legs and arms. 'Let it have its way,' I said; 'only keep
the head well up; and try to put something between the teeth.' Without
any answer, he did as I bade; and what he put betwixt the teeth must
have been his own great thumb. Of course he mistook me for a doctor.
None but a doctor was likely to be out riding on so rough a night."

"Ah, how I do pity they poor chaps!" cried Carrier Cripps, who really
could not wait one minute longer. "Many a naight I mates 'em a
starting for ten or twenty maile of it, just when I be in the smell o'
my supper, and nort but nightcap arterward. Leastways, I mean, arter
pipe and hot summat. Your Worship'll 'scoose me a-breakin' in. But
there's half my arrands to do yet, and the sun gone flat on the
Radcliffe! The Lord knows if I shall get home to-night. But if I
doos--might I make so bold--your Worship be coming to see poor Squire?
Your Worship is not like some worships be--and I has got a rare drop
of fine old stuff! Your Worship is not the man to take me crooked. I
means no liberty, mind you."

"Of that I am certain," Mr. Overshute answered. "Cripps, your
suggestion just hits the mark. I particularly want to see your sister.
That was my object in seeking you. And I did not like to see her,
until you should have had time to prepare her. I have several things
to see to here, and then I will ride to Beckley. Mrs. Hookham will
give me a bit of dinner, when I have seen my dear friend the Squire.
At night, I will come down, and smoke a pipe, and finish my story with
you, as soon as I am sure you have had your supper."

"Never you pay no heed at all," said Master Cripps, with solemnity,
"to no thought of my zupper, sir. That be entire what you worships
call a zecondary consideration. However, I will have un, if so be I
can. And you mustn't goo for to think, sir, that goo I would now, if
stay I could. I goes with that there story, the same as the jog of a
cart to the trot of the nag. My wits kapes on agoin' up and down. But
business is a piece of the body, sir. But no slape for me; nor no
church to-morrow; wi'out I hears the last of that there tale!"




CHAPTER XX.

CRIPPS DRAWS THE CORK.


Any kind good-natured person, loving bright simplicity, would have
thought it a little treat to look round the Carrier's dwelling-room,
upon that Saturday evening, when he expected Mr. Overshute. Not that
Cripps himself was over-tidy, or too particular. He was so kindly
familiar now with hay, and straw, and bits of string, and chaff, and
chips, and promiscuous parcels, that on the whole he preferred a
litter to any exertions of broom or brush. But Esther, who ruled the
house at home, was the essence of quick neatness, and scorned all
comfort, unless it looked--as well as was--right comfortable. And now,
expecting so grand a guest, she had tucked up her sleeves, and stirred
her pretty arms to no small purpose.

The room was still a kitchen, and she had made no attempt to disguise
that much. But what can look better than a kitchen, clean, and bright,
and well supplied with the cheery tools of appetite. It was a
good-sized room, and very picturesque with snugness. Little corners,
in and out, gave play for light and shadow; the fireplace retired far
enough to well express itself; and the dresser had brass-handled
drawers, that seemed quietly nursing table-cloths. Well, above these,
upon lofty hooks, the chronicles of the present generation might be
read on cups. Zacchary headed the line, of course; and then--as
Genesis is ignored by grander generations--Exodus, and Leviticus (the
fount of much fine movement), and Numbers, and a great many more,
showed that the Carrier's father and mother had gladly baptized every
one.

In front of the fire sat the Carrier, with nearly all of his best
clothes on, and gazing at a warming-pan. He had been forbidden to eat
his supper, for fear of making a smell of it; and he had a great mind
to go to bed, and have some hot coals under him. For nearly five miles
of uphill work and laying his shoulder against the spokes, he had been
promising himself a rare good supper, and a pipe to follow; and now
where were they? In the far background. He had no idea of rebellion;
still that saucepan on the simmer made the most provoking movements.
Therefore he put up his feet upon a stump of oak (which had for
generations cooled down pots), and he turned with a shake of his head
toward the fire, and sniffed the sniff of Tantalus, and muttered--"Ah,
well! the Lord knoweth best!" and thought to himself that if ever
again he invited the quality to his house, he would wait till he had
his own quantity first.

Esther was quite in a flutter; although she was ready to deny it
stoutly, and to blush a bright red in doing so. To her, of course,
Justice Overshute was simply a great man, who must have the chair of
state, and the talk of restraint, and a clean dry hearth, and the
curtsy, and the best white apron of deference. To her it could make
not one jot of difference, that Mr. Overshute happened to be the most
intimate friend of some other gentleman, who never came near her,
except in dreams. Tush, she had the very greatest mind, when the house
was clean and tidy, to go and spend the evening with her dear friend
Mealy at the Anvil. But Zacchary would not hear of this; and how could
she go against Zacchary?

So she brought the grand chair, the arm-chair of yew-tree--the tree
that used to shade the graves of unrecorded Crippses--a chair of
deepest red complexion, countenanced with a cushion. The cushion was
but a little pad in the dark capacious hollow; suggesting to an
innocent mind, that a lean man had left his hat there, and a fat man
had sat down on it. But the mind of every Cripps yet known was
strictly reverential; and this was the curule chair, and even the
Olympian throne of Crippses.

Russel Overshute knocked at the door, in his usual quick and impetuous
way. In the main he was a gentleman; and he would have knocked at a
nobleman's door exactly as he did at the Carrier's. But all radical
theories, fine as they are, detract from gentle practice; and the
too-large-minded man, while young, takes a flying leap over small
niceties. He does not remember that poor men need more deference than
rich men, because they are not used to it. To put it more
plainly--Overshute knocked hard, and meant no harm by it.

"Come in, sir, and kindly welcome!" Cripps began, as he showed him in;
"plaize to take this chair, your Worship. Never mind your boots; Lor'
bless us! the mud of three counties cometh here."

"Then it goes away again very quickly! Miss Cripps, how are you? May I
shake hands?"

Esther, who had been shrinking into the shade of the clock and the
dresser, came forward with a brave bright blush, and offered her hand,
as a lady might. Russel Overshute took it kindly, and bowed to her
curtsy, and smiled at her. In an honest manly way, he admired pretty
Esther.

"Master Cripps, you are too bad; and your sister in the conspiracy
too! I do believe that your mind is set to make me as tipsy as a king
to-night!"

"They little things!" said the Carrier, pointing to the old oak table,
where a bottle of grand old whiskey shone with the reflected gleam of
lemons, and glasses danced in the firelight--"they little things, sir,
was never set for so good a gentleman afore, nor a one to do such
honour to un. But they might be worse, sir, they might be worse, to
spake their simple due of un. And how is poor Squire to-night, your
Worship?"

"Well, he is about as usual. Nothing seems to move him much. He sits
in his old chair, and listens for a step that never comes. But his
patience is wonderful. It ought to be a lesson to us; and I hope it
has been one to me. He trusts in the Lord, Cripps, as strongly as
ever. I fear I should have given up that long ago, if I were laid on
my back as he is."

"Young folk," answered Cripps, as he drew the cork--"meaning no
disrespect to you, sir--when they encounters trouble, is like a young
horse a-coming to the foot of a hill for the fust time wi' a heavy
load. He feeleth the collar beginning to press, and he tosseth his
head, and that maketh un worse. He beginneth to get into fret and
fume, and he shaketh his legs with anger, and he turneth his head and
foameth a bit, and champeth, to ax the maning o' it. And then you can
judge what the stuff of him is. If he be bad stuff, he throweth them
back, and tilteth up his loins, and spraddleth. But if he hath good
stuff, he throweth out his chest, and putteth the fire into his eyes,
and closeth his nostrils, and gathereth his legs, and straineth his
muscles like a bowstring. But be he as good as a wool, he longeth to
see over the top of that there hill, afore he be half-way up it."

"Well, Cripps, I have done that, I confess. I have longed to see over
the top of the hill; and Heaven only knows where that top is! But as
sure as we sit here and drink this glass of punch to your sister's
health, and to yours, good Carrier, so surely shall our dear old
friend receive the reward of his faith and courage; whether in this
world or the next!"

"Thank 'ee kindly, sir. Etty, is that the best sort of curtsy they
teaches now? Now, don't blush, child, but make a betterer. But as to
what your Worship was a-saying of, I virtually hopes a may come to
pass in this world we be living in. Otherwise, maybe, us never may
know on it, the kingdom of Heaven being such a size."

"Cripps, I believe it will be in this world. And I hope that I am on
the straight road now towards making out some part of it. You have
told your sister all I told you at Brasenose this morning according to
my directions? Very well, then; I may begin again at the point where I
left off with you. Where did I break it? I almost forget."

"With the man's big thumb in the mouth of the cheeld, while you was
a-looking at him, sir; and the wind and the rain blowing furious."

"Ah yes, I remember; and so they were. I thought that the crest of the
hedge would fall over, and bury the whole of us out of the way. And
when the poor boy had kicked out his convulsions, and fallen into a
senseless sleep, the rough man turned on me savagely, as if I could
have prevented it. 'A pretty doctor you be!' he exclaimed. But I took
the upper hand of him. 'Stand back there!' I said; and I lifted the
child (expecting him to strike me all the while), and placed the poor
little fellow on my horse, and managed to get up into my saddle before
the wind blew him off again. 'Now lead the way to your home,' I said.
And muttering something, he set off.

"He strode along at such a pace that, having to manage both child and
horse, it was all I could do to keep up with him. But I kept him in
sight till he came to a common, and there he struck sharply away to
the right. By the light of the wind and the rain, and a star that
twinkled where the storm was lifting, I followed him, perhaps for half
a mile, through a narrow track, in and out furze and bramble. At last
he turned suddenly round a corner, and a shadow fell behind him--his
own shadow thrown by a gusty gleam of fire. Cantelupe--that is my
horse, Miss Esther--has not learned to stand fire yet, and he shied at
the light, and set off through the furze, as if with the hounds in
full cry before him. We were very lucky not to break our necks, going
headlong in the dark among rabbit-holes. I thought that I must have
dropped the child, as the best thing to be done for him; but the
shaking revived him, and he clung to me.

"I got my horse under command at last; but we must have gone half a
mile anywhere, and to find the way back seemed a hopeless task. But
the quick-witted people (who knew what had happened, and what was
likely to come of it) saved me miles of roundabout by a very simple
expedient. They hoisted from time to time a torch of dry furze blazing
upon a pole; and though the light flared and went out on the wind, by
the quick repetition they guided me. In the cold and the wet, it
rejoiced my heart to think of a good fire somewhere."

"Etty, stir the fire up," the hospitable Cripps interrupted. "His
Worship hath shivers, to think of it. When a man, or, beg pardon, a
gentleman, feeleth the small of his back go creeping, he needeth good
fire to come up his legs, and a hot summat to go down him. Etty, be
quick with the water now."

"Cripps, Cripps, Carrier Cripps! do you want to have me spilled on the
road to-night? I am trying to tell things in proper order. But how can
I do it, if you go on so? However, as I was beginning to say,
Cantelupe, and the child, and I, fetched back to the place at last,
where the flash of light had started us. And we saw, not a flash, but
a glow this time, a steadfast body of cheerful fire, with pots and
cauldrons over it. So well had the spot been chosen, in the lee of
ground and growth, that the ash of the fire lay round the embers, as
still as the beard of an oyster; while thicket and tree but a few
yards off were threshing in the wind and wailing. Behind this fire,
and under a rick-cloth sloping from a sandstone crest, women and
children, and one or two men, sat as happy and snug as could be: dry,
and warm, and ready for supper, and pleased with the wind and the rain
outside, which improved their comfort and appetite. And now and then
the children seemed to be pulling at an important woman, to hurry her,
perhaps, in her cookery.

"But while I was watching them, keeping my horse on the verge of light
and shadow, a woman, quite different from the rest, came out of the
darkness after me. Heedless of weather, and reckless of self, she had
been seeking for me, or rather for my little burden. Her hair was
steeped with the drenching rain, for she wore no hat or bonnet; and
her dark clothes hung on the lines of her figure, as women hate to let
them do. Her eyes and face I could not see because of the way the
light fell; but I seemed to know her none the less.

"While I gazed in doubt, my little fellow slipped like an eel from my
clasp and the saddle; and almost before I could tell where he
was--there he was in the arms of his mother! Wonders of love now began
to go on; and it struck me that I was one too many in a scene of that
sort; and I turned my good horse, to be off and away. But the woman
called out, and a man laid hold of my bridle, and took his hat off,
when, with the usual impulse of a stopped Briton, I was going to
strike at him. I saw that it was my good friend of the ditch, and I
came to parley with him.

"What with his scarcity of manners, and of polished language, and
worst of all his want of palate, I found it hard, with so much wind
blowing out here all around us, to understand his meaning. This was
rude of me to the last degree, for the queerly-voiced man was doing no
less than inviting me, with all his heart, to an uncommonly good
dinner!"




CHAPTER XXI.

CINNAMINTA.


"Now that," said Cripps, "is what I call the proper way of doing
things. Arter all, they hathens knows a dale more than we credit 'em."

"Well, Miss Esther," asked Russel, turning to his other listener,
"what do you think about it now?"

"Sir," she replied, with her round cheeks  by the excitement
of his tale, and shining in the firelight, "I do not know what the
manners may be among the gentry in such things. But if it had been one
of us, we never could have supped with him."

"You are right," answered Overshute; "so I felt. Starving as I was, I
could not break bread with a man like that, until he should have
cleared himself. He did not seem to be conscious of any dark mistrust
on my part; and that was natural enough, as he did not even know me.
But when I said that I must ride home as fast as I could, he asked me
first to come and have a look at the poor little child. This I could
not well refuse; so I gave my horse to a boy to hold, and followed him
into the warm dry place, and into his own corner. As I passed, and the
